序号1,类型,件号,序号,名称,数量,冻结数量,单位,飞行小时,发动机小时,起落架次,适用机型,仓库,最低库存,架位,库存有效期,证书编号,适航标签号,上次检查日期,下次检查日期,生产厂商,供应商
1,消耗品,HB1-126G5*22,,圆头螺栓,6,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
2,消耗品,HB1-106-7*22*3,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
3,消耗品,HB1-102G5*12,,螺栓,1,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
4,消耗品,HB1-151-5*16*3,,螺栓,2,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
5,消耗品,HB1-102-12*44*4.5,,螺栓,4,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
6,消耗品,HB1-1016*42*3,,螺栓,11,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
7,消耗品,HB1-106-6*28*3,,螺栓,6,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
8,消耗品,HB1-101G5*14,,螺栓,20,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
9,消耗品,HB1-102G5*22,,螺栓,3,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
10,消耗品,HB1-102G6*22,,螺栓,8,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
11,消耗品,HB1-106-6*24*3,,螺栓,25,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
12,消耗品,HB1-126G4*14,,螺栓,6,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
13,消耗品,HB6275M4,,螺母,19,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
14,消耗品,HB6275M5,,螺母,24,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
15,消耗品,HB1-403-12*1.5,,螺母,13,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
16,消耗品,HB6275M10,,螺母,1,0,个,00:00,00:00,0,运5B（D）,库1,,A,,,,,,中航工业华北公司,中航工业华北公司
